,ID,Shrt_Desc,Carbohydrt_(g),Energ_Kcal,Lipid_Tot_(g),Cholestrl_(mg),Sodium_(mg),Protein_(g),Fiber_TD_(g),Sugar_Tot_(g)
4327,4327,"BEVERAGES,GRAPE DRK,CND",15.72,61,0.0,0.0,16.0,0.0,0.0,13.06
6875,6875,MCDONALD'S BACON RANCH SALAD W/ CRISPY CHICK,6.08,122,6.3,22.0,273.0,8.82,1.0,1.53
7413,7413,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FT,0"" FAT,ALL GRDS,RAW",0.0,124,3.48,60.0,53.0,23.26,0.0,0.0
918,918,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,RAW",0.0,121,4.12,94.0,95.0,19.66,0.0,0.0
1061,1061,"USDA CMDTY CHICK,CND,MEAT ONLY,DRND",0.0,162,5.72,83.0,271.0,27.52,0.0,0.0
1674,1674,"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",10.92,204,10.3,58.0,721.0,17.0,0.3,0.0
7496,7496,"BEEF,NZ,IMP,INSIDE,RAW",0.1,128,4.36,55.0,40.0,22.16,0.0,0.0
7207,7207,"BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,CK",0.0,284,19.3,98.0,64.0,27.6,0.0,0.0
7223,7223,"BEEF,SHLDR POT RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,BRSD",0.0,200,8.41,98.0,62.0,31.18,0.0,0.0
1154,1154,"TURKEY,SKN FROM WHL,(LIGHT & DARK),W/ ADDED SOLN,RSTD",0.0,451,40.31,144.0,234.0,22.15,0.0,0.0
3387,3387,"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT",20.98,96,1.5,0.0,253.0,3.41,2.4,4.54
4989,4989,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,W/SALT",20.88,115,0.38,0.0,238.0,7.8,7.0,2.9
5203,5203,"VEAL,LOIN,LN&FAT,CKD,BRSD",0.0,284,17.21,118.0,80.0,30.19,0.0,0.0
535,535,"INF FORMULA. MEAD JOHNSON, PREGESTIMIL, W/IRON, PDR,NO RECON",52.8,519,28.0,2.0,240.0,14.0,0.0,51.0
3604,3604,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",3.87,22,0.35,0.0,9.0,2.11,1.3,2.5
1221,1221,"SOUP,CHICK RICE,CND,CHUNKY,RTS",5.41,53,1.33,5.0,370.0,5.11,0.4,0.6
921,921,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD",0.0,195,9.79,90.0,75.0,25.0,0.0,0.0
7634,7634,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,SEL,CKD,RSTD",0.0,163,4.11,75.0,39.0,29.59,0.0,0.0
4132,4132,"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",22.66,174,1.88,0.0,6.0,0.42,0.3,22.33
7555,7555,"BEEF,GROUND,97% LN MEAT / 3% FAT,RAW",0.0,121,3.0,60.0,66.0,21.98,0.0,0.0
644,644,"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",27.6,141,4.0,6.0,868.0,0.5,0.3,21.87
3554,3554,"PICKLE RELISH,SWEET",35.06,130,0.47,0.0,811.0,0.37,1.1,29.13
7841,7841,"GIRL SCOUTS,TAGALONGS COOKIES",52.2,558,35.3,0.0,371.0,8.1,3.5,30.9
849,849,"CHICKEN,LIVER,ALL CLASSES,RAW",0.73,119,4.83,345.0,71.0,16.92,0.0,0.0
8581,8581,"VEGETABLE OIL-BUTTER SPRD,RED CAL",0.0,465,53.0,54.0,581.0,0.0,0.0,0.0
5545,5545,"LAMB,AUS,FRSH,RACK,RST,FRENCHED,BONE-IN,LN,1/8"" FAT,CKD,RSTD",0.0,244,14.64,96.0,67.0,28.01,0.0,0.0
2125,2125,"APPLES,CND,SWTND,SLICED,DRND,UNHTD",16.7,67,0.49,0.0,3.0,0.18,1.7,15.0
3499,3499,"TOMATO PRODUCTS,CND,PUREE,W/SALT",8.98,38,0.21,0.0,202.0,1.65,1.9,4.83
4080,4080,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",0.0,201,12.71,75.0,52.0,20.3,0.0,0.0
7545,7545,"BEEF,NZ,IMP,RUMP CENTRE,LN & FAT,RAW",0.0,145,6.5,55.0,49.0,21.65,0.0,0.0
6463,6463,"SYRUPS,CHOC,HERSHEY'S SUGAR FREE,GENUINE CHOC FLAV,LITE SYRU",14.2,43,2.03,0.0,343.0,2.87,2.9,0.27
3742,3742,"BEEF,GRASS-FED,STRIP STEAKS,LN,RAW",0.0,117,2.69,55.0,55.0,23.07,0.0,0.0
7466,7466,"Beef, ln, top ln stk, bneless lip-on, 1/8"" fat all grdes raw",0.0,143,5.67,60.0,46.0,23.07,0.0,0.0
1419,1419,"CAMPBELL'S,TOMATO SOUP,COND",15.22,71,0.44,0.0,377.0,1.46,1.1,8.23
3133,3133,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,OVEN-HTD",26.98,152,3.76,0.0,373.0,2.57,2.6,0.25
7162,7162,"BEEF,CHUCK EYE COUNTRY-STYLE RIBS,BNLESS,LN,0"" FAT,CHOIC,RAW",0.0,152,7.67,70.0,81.0,20.87,0.0,0.0
1393,1393,"CAMPBELL'S,CRM OF CHICK SOUP,COND",6.03,103,7.98,9.0,624.0,1.76,4.1,0.33
2201,2201,"FIGS,CND,H2O PK,SOL&LIQUIDS",13.99,53,0.1,0.0,1.0,0.4,2.2,11.79
2470,2470,"CRANBERRY JUC BLEND,100% JUC,BTLD,W/ ADDED VIT C & CA",10.91,45,0.12,0.0,6.0,0.27,0.1,9.8
8663,8663,"CHICKEN,MEATLESS",3.64,224,12.73,0.0,709.0,23.64,3.6,0.0
4397,4397,"CRANBERRY JUC COCKTAIL,FRZ CONC",51.45,201,0.0,0.0,4.0,0.05,0.2,42.5
3360,3360,"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",5.35,28,0.12,0.0,260.0,3.1,3.0,1.47
7026,7026,"HOT POCKETS,CROISSANT POCKTS CHIK,BROC&CHDR STUFD SNDWCH,FRZ",30.4,235,8.6,29.0,346.0,8.9,1.1,7.6
7956,7956,"KEEBLER,VANILLA WAFERS MINIS,RAINBOW",72.3,466,18.3,1.0,400.0,4.0,1.3,31.1
7436,7436,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW",0.0,116,2.45,63.0,55.0,23.59,0.0,0.0
10,10,"CHEESE,COLBY",2.57,394,32.11,95.0,604.0,23.76,0.0,0.52
4753,4753,"BEANS,BLACK,MATURE SEEDS,CKD,BLD,WO/SALT",23.71,132,0.54,0.0,1.0,8.86,8.7,0.32
4994,4994,"MUNGO BNS,MATURE SEEDS,CKD,BLD,W/SALT",18.34,105,0.55,0.0,243.0,7.54,6.4,2.01
8113,8113,"COOKIES,SUGAR WAFER,CHOCOLATE-COVERED",65.99,526,27.59,0.0,138.0,3.45,3.4,51.72
237,237,"MILK,CND,EVAP,WO/ VIT A",15.74,107,2.0,0.0,100.0,6.67,0.0,6.67
588,588,"INF FORMULA, MEAD JOHNS, ENFAMI, AR LIPIL, RTF,W/ ARA & DHA",7.53,68,3.49,1.0,27.0,1.71,0.0,6.44
8101,8101,"COOKIES,CHOC SNDWCH,W/ CREME FILLING,RED FAT",76.17,436,13.24,0.0,471.0,2.94,2.9,41.18
660,660,"OIL,PALM",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
5595,5595,"BREAD,PITA,WHOLE-WHEAT",55.89,262,1.71,0.0,527.0,9.8,6.1,2.87
759,759,"SALAD DRSNG,MAYO,LT",9.23,238,22.22,16.0,827.0,0.37,0.0,3.56
4125,4125,"ALCOHOLIC BEV,BEER,LT",1.64,29,0.0,0.0,4.0,0.24,0.0,0.09
7726,7726,"SNACKS,GRANOLA BAR,KASHI GOLEAN,CHEWY,MXD FLAVORS",63.42,390,7.69,6.0,321.0,16.67,7.7,42.31
8487,8487,"RESTAURANT,FAMILY STYLE,COLESLAW",12.35,159,11.78,8.0,221.0,0.88,1.9,9.54
7744,7744,"Snack,gran bar,GENERAL MILLS, NATURE VALLEY, w yogu coati",74.29,423,11.43,0.0,271.0,5.71,4.4,40.0
2794,2794,"PORK,GROUND,96% LN / 4% FAT,CKD,CRUMBLES",0.0,187,7.15,78.0,84.0,30.55,0.0,0.0
1074,1074,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",0.02,233,15.7,132.0,345.0,22.93,0.0,0.02
7116,7116,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",0.0,223,15.18,62.0,40.0,20.11,0.0,0.0
680,680,"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
6425,6425,"FROZEN NOVELTIES,NO SUGAR ADDED,FUDGSICLE POPS",23.11,124,1.87,2.0,96.0,3.67,1.5,5.1
4945,4945,SILK ORIGINAL CREAMER,6.67,100,6.67,0.0,67.0,0.0,0.0,0.0
4241,4241,"BEVERAGES,APPL JUC DRK,LT,FORT W/ VIT C",5.1,22,0.1,0.0,13.0,0.0,0.0,4.8
6892,6892,"FAST FOODS,CHESEBRGER; SING,LRG PATY; W/ CONDMNT,VEG & MAYO",17.73,268,15.8,51.0,473.0,13.69,1.1,4.5
1788,1788,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",70.3,395,14.1,0.0,280.0,9.2,12.7,28.0
4569,4569,"SARDINE,ATLANTIC,CND IN OIL,DRND SOL W/BONE",0.0,208,11.45,142.0,307.0,24.62,0.0,0.0
7907,7907,"KEEBLER,GRIPZ,CHIPS DELUXE,RAINBOW CHOC CHIP COOKIES,BITE-SI",74.3,470,17.7,0.0,383.0,4.7,1.8,33.5
6407,6407,"SNACKS,PRETZELS,HARD,PLN,MADE W/ ENR FLR,UNSALTED",79.2,381,3.5,0.0,250.0,9.1,2.8,2.21
1037,1037,"GROUND TURKEY,RAW",0.0,148,7.66,69.0,58.0,19.66,0.0,0.0
1256,1256,"SOUP,VEGETARIAN VEG,CND,COND",9.78,59,1.58,0.0,516.0,1.72,0.5,3.13
661,661,"OIL,SESAME,SALAD OR COOKING",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
7241,7241,"BEEF,RIB EYE STEAK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",0.0,173,9.97,65.0,65.0,20.93,0.0,0.0
2462,2462,"FRUIT JUC SMOOTHIE,ODWALLA,ORIGINAL SUPERFOOD",11.51,50,0.36,0.0,3.0,0.63,0.6,10.16
4209,4209,"BEVERAGES,CARB,CLUB SODA",0.0,0,0.0,0.0,21.0,0.0,0.0,0.0
5979,5979,"CRACKERS,CHS,SANDWICH-TYPE W/ CHS FILLING",58.76,490,24.41,6.0,878.0,8.92,1.9,12.33
7094,7094,"KASHI,CHICK FLORENTINE,FRZ ENTREE",11.0,106,3.4,16.0,194.0,7.9,1.8,0.5
1123,1123,"GROUND TURKEY,85% LN,15% FAT,RAW",0.0,180,12.54,78.0,54.0,16.9,0.0,0.0
7898,7898,"KEEBLER,FUDGE SHOPPE,GRASSHOPPER COOKIES,FUDGE MINT",68.3,499,23.7,1.0,266.0,4.0,2.4,39.7
7732,7732,"SNACKS,GRANOLA BARS,SOFT,ALMOND,CONFECTIONERS COATING",60.13,455,20.0,0.0,486.0,8.6,4.3,34.0
6480,6480,"BUCKWHEAT GROATS,RSTD,CKD",19.94,92,0.62,0.0,4.0,3.38,2.7,0.9
7935,7935,"KEEBLER,SWT CREMES COOKIES",71.0,469,19.3,0.0,267.0,4.5,1.3,32.0
6808,6808,"PAPA JOHN'S 14"" CHS PIZZA,ORIGINAL CRUST",32.74,260,9.25,19.0,578.0,11.53,1.9,5.32
8589,8589,"MAYONNAISE,MADE WITH TOFU",3.06,322,31.79,0.0,773.0,5.95,1.1,0.85
353,353,"BABYFOOD,DINNER,VEG&HAM,STR",7.8,59,2.14,5.0,16.0,2.19,1.6,1.37
6088,6088,"SNACKS,M&M MARS,COMBOS SNACKS CHEDDAR CHS PRETZEL",66.5,463,16.92,5.0,1117.0,9.85,3.6,17.6
166,166,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,11.8,222,10.6,42.0,1586.0,19.6,0.0,8.5
1951,1951,"CEREALS RTE,KASHI GOLEAN",67.19,311,2.2,0.0,177.0,24.89,20.1,16.5
7953,7953,"KEEBLER,TOWN HOUSE,FLATBREAD CRISPS,SEA SALT & OLIVE OIL CRA",72.8,443,14.0,0.0,942.0,8.0,3.6,5.2
8681,8681,"SWEETENERS,TABLETOP,FRUCTOSE,DRY,PDR",100.0,368,0.0,0.0,12.0,0.0,0.0,92.7
7668,7668,"BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,RAW",0.0,135,4.62,61.0,57.0,21.91,0.0,0.0
7134,7134,"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,CKD,GRILLED",0.0,212,11.52,83.0,76.0,25.29,0.0,0.0
7826,7826,"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,BLUEBERRY",43.6,257,7.8,0.0,527.0,6.2,3.9,10.0
4654,4654,"WHELK,UNSPECIFIED,RAW",7.76,137,0.4,65.0,206.0,23.84,0.0,0.0
1454,1454,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",4.77,30,0.86,1.0,226.0,0.85,0.6,1.32
2649,2649,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN,CKD,PAN-FRIED",0.0,224,11.8,70.0,52.0,27.68,0.0,0.0
